Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,28.665001,28.995001,28.620001,28.875000,26.033590,1966225
2019-08-20,28.889999,29.065001,28.559999,28.615000,25.799177,2096233
2019-08-21,28.709999,29.139999,28.709999,29.084999,26.222925,1820681
2019-08-22,29.000000,29.330000,28.945000,29.045000,26.186863,1805214
2019-08-23,29.180000,29.379999,28.834999,28.885000,26.042608,2949783
2019-08-26,28.860001,29.155001,28.690001,28.980000,26.128258,1755277
2019-08-27,29.080000,29.340000,28.834999,29.225000,26.349152,2534430
2019-08-28,29.225000,29.250000,28.834999,29.195000,26.322102,1807101
2019-08-29,29.275000,29.780001,29.195000,29.674999,26.754869,2482552
2019-08-30,29.799999,30.129999,29.695000,29.900000,26.957727,2942189
2019-09-02,29.959999,30.309999,29.865000,30.080000,27.120014,1806759
2019-09-03,29.940001,29.945000,29.504999,29.670000,26.750360,2420708
2019-09-04,30.045000,30.115000,29.735001,29.945000,26.998299,2318740
2019-09-05,30.115000,30.455000,30.105000,30.385000,27.395002,2844936
2019-09-06,30.400000,30.485001,30.235001,30.485001,27.485163,2320399
2019-09-09,30.350000,30.504999,30.295000,30.465000,27.467129,1830780
2019-09-10,30.434999,30.995001,30.434999,30.780001,27.751135,3219669
2019-09-11,30.844999,31.115000,30.815001,30.900000,27.859325,2629517
2019-09-12,31.000000,31.100000,30.700001,30.990000,27.940468,2747104
2019-09-13,30.930000,31.209999,30.930000,31.105000,28.044149,2587481
2019-09-16,30.860001,31.055000,30.754999,30.875000,27.836782,2173848
2019-09-17,30.799999,30.840000,30.525000,30.719999,27.697037,2635455
2019-09-18,30.020000,30.350000,29.900000,30.350000,27.363447,3769722
2019-09-19,30.370001,30.540001,30.184999,30.250000,27.273285,2738984
2019-09-20,30.344999,30.355000,30.014999,30.184999,27.214682,7978032
2019-09-23,30.070000,30.215000,29.684999,29.834999,26.899124,2795546
2019-09-24,29.945000,30.115000,29.805000,29.840000,26.903631,2214899
2019-09-25,29.750000,29.799999,29.385000,29.795000,26.863060,1995853
2019-09-26,29.805000,30.170000,29.740000,30.120001,27.156080,2010797
2019-09-27,30.165001,30.334999,30.090000,30.190001,27.219193,1640872
2019-09-30,30.230000,30.645000,30.209999,30.645000,27.629417,2630450
2019-10-01,30.690001,30.770000,29.434999,29.445000,26.547503,5233583
2019-10-02,29.440001,29.440001,28.830000,28.885000,26.042608,4675915
2019-10-04,28.955000,29.020000,28.600000,28.879999,26.038101,3079597
2019-10-07,28.799999,28.895000,28.629999,28.750000,25.920891,2322403
2019-10-08,28.705000,28.780001,28.410000,28.670000,25.848764,2691669
2019-10-09,28.635000,29.139999,28.549999,28.745001,25.916386,2804419
2019-10-10,28.750000,29.115000,28.690001,29.040001,26.182358,2992923
2019-10-11,29.200001,29.750000,29.105000,29.719999,26.795439,3034999
2019-10-14,29.615000,29.830000,29.525000,29.760000,26.831503,1544104
2019-10-15,30.225000,30.549999,30.000000,30.315001,27.331892,3168747
2019-10-16,30.260000,30.530001,30.129999,30.395000,27.404018,2597308
2019-10-17,30.355000,30.969999,30.350000,30.520000,27.516718,3077073
2019-10-18,30.825001,31.160000,30.615000,30.760000,27.733101,3727060
2019-10-21,30.889999,31.375000,30.820000,31.299999,28.219961,2770578
2019-10-22,31.350000,31.660000,31.264999,31.650000,28.535521,3363178
2019-10-23,31.615000,31.975000,31.525000,31.920000,28.778952,3152373
2019-10-24,32.000000,32.349998,31.930000,32.105000,28.945747,3051654
