Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,32.735001,33.439999,31.139999,31.535000,30.225317,8800381
2020-05-04,30.100000,30.309999,28.905001,29.639999,28.409018,7569506
2020-05-05,30.469999,31.260000,30.219999,30.745001,29.468128,6547996
2020-05-06,30.745001,30.805000,29.905001,29.905001,28.663013,4987472
2020-05-07,30.105000,30.665001,29.940001,30.094999,28.845121,4615329
2020-05-08,30.480000,31.655001,30.155001,31.655001,30.340334,4695447
2020-05-11,31.770000,32.090000,30.715000,30.959999,29.674196,4356388
2020-05-12,30.625000,31.305000,30.590000,30.594999,29.324356,3259007
2020-05-13,30.100000,30.155001,28.605000,28.620001,27.431381,5878910
2020-05-14,28.180000,28.370001,26.295000,27.615000,26.468119,9728360
2020-05-15,28.049999,28.745001,27.424999,28.004999,26.841921,5914827
2020-05-18,28.620001,31.235001,28.610001,31.180000,29.885061,7378357
2020-05-19,31.600000,31.875000,30.155001,31.004999,29.717327,6977508
2020-05-20,31.025000,32.230000,30.080000,32.009998,30.680588,6426407
2020-05-21,31.639999,32.259998,31.230000,31.445000,30.139055,4408959
2020-05-22,30.629999,32.275002,30.445000,31.340000,30.038416,5709082
2020-05-25,31.799999,31.875000,31.030001,31.875000,30.551197,3058860
2020-05-26,32.299999,32.750000,31.980000,32.660000,31.303595,4874937
2020-05-27,32.849998,35.955002,32.740002,35.549999,34.073570,11873401
2020-05-28,36.299999,36.435001,34.474998,35.049999,33.594334,6967828
2020-05-29,34.264999,34.490002,33.380001,33.380001,31.993692,12786666
2020-06-02,35.000000,36.779999,34.865002,35.959999,34.466541,10392644
2020-06-03,36.709999,37.990002,36.145000,37.935001,36.359520,8149469
2020-06-04,36.049999,37.500000,35.404999,37.000000,35.463348,8261154
2020-06-05,37.560001,39.895000,37.470001,39.825001,38.171024,10011690
2020-06-08,39.110001,41.490002,38.959999,40.105000,38.439396,7689524
2020-06-09,40.049999,40.294998,37.685001,38.965000,37.346745,8212206
2020-06-10,39.580002,40.040001,37.889999,38.799999,37.188591,6184585
2020-06-11,36.900002,37.630001,35.314999,35.314999,33.848328,9833769
2020-06-12,35.314999,37.415001,35.040001,36.020000,34.524048,8523010
2020-06-15,34.674999,35.955002,34.294998,35.674999,34.193378,5861874
2020-06-16,37.520000,37.935001,36.130001,37.009998,35.472935,7521195
2020-06-17,37.090000,37.759998,36.240002,37.005001,35.468143,7113939
2020-06-18,37.000000,37.570000,36.195000,36.730000,35.204563,6409000
2020-06-19,37.275002,37.465000,36.660000,36.759998,35.233315,10023150
2020-06-22,36.200001,37.005001,35.750000,36.709999,35.185390,4288411
2020-06-23,36.994999,37.895000,36.355000,37.084999,35.544819,5653357
2020-06-24,37.000000,37.115002,34.720001,34.845001,33.397854,6794499
2020-06-25,34.750000,36.209999,34.435001,35.834999,34.346733,5369065
2020-06-26,36.525002,36.625000,34.814999,35.009998,33.555996,4012281
2020-06-29,34.945000,36.320000,34.945000,35.910000,34.418617,5192270
2020-06-30,36.299999,36.450001,35.375000,36.145000,34.643860,4082706
2020-07-01,36.169998,36.169998,35.020000,35.660000,34.179001,3866731
2020-07-02,36.080002,37.700001,35.880001,37.165001,35.621498,5350147
2020-07-03,37.500000,37.730000,36.470001,36.665001,35.142265,2843616
2020-07-06,37.860001,38.400002,37.349998,37.814999,36.244499,3755934
2020-07-07,37.630001,38.320000,37.154999,37.634998,36.071976,3390612
2020-07-08,37.500000,38.110001,37.064999,37.189999,35.645458,4756449
2020-07-09,37.064999,37.325001,36.075001,36.150002,35.507950,3338333
2020-07-10,35.369999,36.834999,35.320000,36.674999,36.023621,4027734
2020-07-13,37.450001,37.730000,36.724998,37.290001,36.627701,2934319
2020-07-14,36.639999,37.115002,36.500000,36.994999,36.337936,2894308
2020-07-15,37.279999,38.000000,37.020000,37.689999,37.020592,3777392
2020-07-16,37.575001,38.049999,37.160000,37.669998,37.000950,3299911
2020-07-17,39.200001,39.889999,38.889999,39.334999,38.636379,6754720
2020-07-20,39.200001,39.205002,38.290001,38.889999,38.199280,3358616
2020-07-21,39.509998,40.119999,39.169998,39.470001,38.768982,4504066
2020-07-22,39.355000,39.580002,38.680000,39.160000,38.464485,3450266
2020-07-23,40.000000,41.779999,40.000000,40.830002,40.104828,7331685
2020-07-24,40.009998,40.639999,39.810001,39.950001,39.240456,3609519
2020-07-27,40.240002,40.514999,39.814999,40.070000,39.358322,2570057
2020-07-28,40.090000,40.310001,39.349998,39.825001,39.117676,3498155
2020-07-29,39.965000,40.044998,39.270000,39.895000,39.186432,3058253
2020-07-30,39.889999,39.924999,37.895000,38.599998,37.914433,5654701
2020-07-31,38.650002,38.955002,37.400002,37.400002,36.735748,4205797
2020-08-03,37.520000,39.285000,37.450001,39.060001,38.366264,4484128
2020-08-04,39.799999,40.389999,39.520000,40.154999,39.441814,3535394
2020-08-05,40.455002,41.224998,40.264999,40.810001,40.085182,3580759
2020-08-06,40.700001,41.259998,40.040001,40.610001,39.888733,3185465
2020-08-07,40.535000,40.654999,39.825001,40.599998,39.878910,2277613
2020-08-10,40.919998,41.134998,40.235001,40.875000,40.149025,1978554
2020-08-11,41.264999,42.599998,41.264999,42.294998,41.543804,5615413
2020-08-12,42.200001,43.400002,42.075001,42.619999,41.863033,3734320
2020-08-13,42.450001,43.075001,42.244999,42.310001,41.558540,2663857
2020-08-14,42.275002,42.384998,41.540001,42.264999,41.514339,2667113
2020-08-17,42.099998,42.549999,41.715000,42.334999,41.583096,1682642
2020-08-18,42.005001,42.950001,41.799999,42.215000,41.465229,3226354
2020-08-19,42.189999,42.919998,41.985001,42.919998,42.157703,2629857
2020-08-20,42.080002,42.415001,41.615002,41.965000,41.219669,3349737
